date,close
2025-05-22,156.0
2025-05-23,156.59
2025-05-26,157.7
2025-05-27,159.22
2025-05-28,160.97
2025-05-29,162.76
2025-05-30,164.39
2025-06-02,165.7
2025-06-03,166.52
2025-06-04,166.77
2025-06-05,166.43
2025-06-06,165.53
2025-06-09,164.17
2025-06-10,162.49
2025-06-11,160.7
2025-06-12,158.97
2025-06-13,157.51
2025-06-16,156.46
2025-06-17,155.96
2025-06-18,156.05
2025-06-19,156.73
2025-06-20,157.91
2025-06-23,159.47
2025-06-24,161.24
2025-06-25,163.02
2025-06-26,164.62
2025-06-27,165.85
2025-06-30,166.6
2025-07-01,166.76
2025-07-02,166.33
2025-07-03,165.35
2025-07-04,163.93
2025-07-07,162.23
2025-07-08,160.43
2025-07-09,158.73
2025-07-10,157.32
2025-07-11,156.35
2025-07-14,155.94
2025-07-15,156.12
2025-07-16,156.87
2025-07-17,158.12
2025-07-18,159.73
2025-07-21,161.51
2025-07-22,163.28
2025-07-23,164.83
2025-07-24,166.0
2025-07-25,166.66
2025-07-28,166.73
2025-07-29,166.21
2025-07-30,165.16
2025-07-31,163.69
2025-08-01,161.96
2025-08-04,160.16
2025-08-05,158.49
2025-08-06,157.14
2025-08-07,156.25
2025-08-08,155.93
2025-08-11,156.2
2025-08-12,157.03
2025-08-13,158.35
2025-08-14,159.99
2025-08-15,161.78
2025-08-18,163.53
2025-08-19,165.03
2025-08-20,166.13
2025-08-21,166.71
2025-08-22,166.69
2025-08-25,166.09
2025-08-26,164.96
2025-08-27,163.44
2025-08-28,161.69
2025-08-29,159.9
2025-09-01,158.27
2025-09-02,156.98
2025-09-03,156.17
2025-09-04,155.93
2025-09-05,156.29
2025-09-08,157.2
2025-09-09,158.58
2025-09-10,160.25
2025-09-11,162.05
2025-09-12,163.77
2025-09-15,165.23
2025-09-16,166.26
2025-09-17,166.74
2025-09-18,166.64
2025-09-19,165.95
2025-09-22,164.75
2025-09-23,163.19
2025-09-24,161.41
2025-09-25,159.64
2025-09-26,158.05
2025-09-29,156.82
2025-09-30,156.09
2025-10-01,155.94
2025-10-02,156.39
2025-10-03,157.38
2025-10-06,158.81
2025-10-07,160.52
2025-10-08,162.32
2025-10-09,164.01
2025-10-10,165.41
2025-10-13,166.37
2025-10-14,166.77
2025-10-15,166.57
2025-10-16,165.8
2025-10-17,164.54
2025-10-20,162.93
2025-10-21,161.14
2025-10-22,159.38
2025-10-23,157.83
2025-10-24,156.68
2025-10-27,156.03
2025-10-28,155.97
2025-10-29,156.51
2025-10-30,157.57
2025-10-31,159.06
2025-11-03,160.79
2025-11-04,162.59
2025-11-05,164.25
2025-11-06,165.59
2025-11-07,166.46
2025-11-10,166.77
2025-11-11,166.49
2025-11-12,165.64
2025-11-13,164.31
2025-11-14,162.66
2025-11-17,160.87
2025-11-18,159.13
2025-11-19,157.63
2025-11-20,156.54
2025-11-21,155.98
2025-11-24,156.02
2025-11-25,156.64
2025-11-26,157.77
2025-11-27,159.31
2025-11-28,161.06
2025-12-01,162.85
2025-12-02,164.47
2025-12-03,165.75
2025-12-04,166.55
2025-12-05,166.77
2025-12-08,166.4
2025-12-09,165.47
2025-12-10,164.08
2025-12-11,162.4
2025-12-12,160.6
2025-12-15,158.88
2025-12-16,157.44
2025-12-17,156.42
2025-12-18,155.95
2025-12-19,156.07
2025-12-22,156.78
2025-12-23,157.98
2025-12-24,159.56
2025-12-25,161.33
2025-12-26,163.11
2025-12-29,164.69
2025-12-30,165.91
2025-12-31,166.62
2026-01-01,166.75
2026-01-02,166.29
2026-01-05,165.28
2026-01-06,163.84
2026-01-07,162.13
2026-01-08,160.33
2026-01-09,158.64
2026-01-12,157.25
2026-01-13,156.32
2026-01-14,155.93
2026-01-15,156.14
2026-01-16,156.93
2026-01-19,158.2
2026-01-20,159.82
2026-01-21,161.61
2026-01-22,163.36
2026-01-23,164.9
2026-01-26,166.05
2026-01-27,166.68
2026-01-28,166.72
2026-01-29,166.17
2026-01-30,165.09
2026-02-02,163.6
2026-02-03,161.86
2026-02-04,160.07
2026-02-05,158.41
2026-02-06,157.08
2026-02-09,156.22
2026-02-10,155.92
2026-02-11,156.23
2026-02-12,157.09
2026-02-13,158.43
2026-02-16,160.08
2026-02-17,161.88
2026-02-18,163.61
2026-02-19,165.1
2026-02-20,166.18
2026-02-23,166.72
2026-02-24,166.67
2026-02-25,166.04
2026-02-26,164.89
2026-02-27,163.35
2026-03-02,161.59
2026-03-03,159.8
2026-03-04,158.19
2026-03-05,156.92
2026-03-06,156.14
2026-03-09,155.93
2026-03-10,156.32
2026-03-11,157.27
2026-03-12,158.66
2026-03-13,160.35
2026-03-16,162.15
2026-03-17,163.86
2026-03-18,165.29
2026-03-19,166.3
2026-03-20,166.75
2026-03-23,166.62
2026-03-24,165.9
2026-03-25,164.68
2026-03-26,163.09
2026-03-27,161.32
2026-03-30,159.54
2026-03-31,157.97
2026-04-01,156.77
2026-04-02,156.07
2026-04-03,155.95
2026-04-06,156.43
2026-04-07,157.45
2026-04-08,158.9
2026-04-09,160.62
2026-04-10,162.42
2026-04-13,164.1
2026-04-14,165.48
2026-04-15,166.4
2026-04-16,166.77
2026-04-17,166.54
2026-04-20,165.74
2026-04-21,164.46
2026-04-22,162.83
2026-04-23,161.05
2026-04-24,159.29
2026-04-27,157.76
2026-04-28,156.63
2026-04-29,156.01
2026-04-30,155.99
2026-05-01,156.55
2026-05-04,157.64
2026-05-05,159.14
