date,close
2023-06-22,156.0
2023-06-23,156.59
2023-06-26,157.7
2023-06-27,159.22
2023-06-28,160.97
2023-06-29,162.76
2023-06-30,164.39
2023-07-03,165.7
2023-07-04,166.52
2023-07-05,166.77
2023-07-06,166.43
2023-07-07,165.53
2023-07-10,164.17
2023-07-11,162.49
2023-07-12,160.7
2023-07-13,158.97
2023-07-14,157.51
2023-07-17,156.46
2023-07-18,155.96
2023-07-19,156.05
2023-07-20,156.73
2023-07-21,157.91
2023-07-24,159.47
2023-07-25,161.24
2023-07-26,163.02
2023-07-27,164.62
2023-07-28,165.85
2023-07-31,166.6
2023-08-01,166.76
2023-08-02,166.33
2023-08-03,165.35
2023-08-04,163.93
2023-08-07,162.23
2023-08-08,160.43
2023-08-09,158.73
2023-08-10,157.32
2023-08-11,156.35
2023-08-14,155.94
2023-08-15,156.12
2023-08-16,156.87
2023-08-17,158.12
2023-08-18,159.73
2023-08-21,161.51
2023-08-22,163.28
2023-08-23,164.83
2023-08-24,166.0
2023-08-25,166.66
2023-08-28,166.73
2023-08-29,166.21
2023-08-30,165.16
2023-08-31,163.69
2023-09-01,161.96
2023-09-04,160.16
2023-09-05,158.49
2023-09-06,157.14
2023-09-07,156.25
2023-09-08,155.93
2023-09-11,156.2
2023-09-12,157.03
2023-09-13,158.35
2023-09-14,159.99
2023-09-15,161.78
2023-09-18,163.53
2023-09-19,165.03
2023-09-20,166.13
2023-09-21,166.71
2023-09-22,166.69
2023-09-25,166.09
2023-09-26,164.96
2023-09-27,163.44
2023-09-28,161.69
2023-09-29,159.9
2023-10-02,158.27
2023-10-03,156.98
2023-10-04,156.17
2023-10-05,155.93
2023-10-06,156.29
2023-10-09,157.2
2023-10-10,158.58
2023-10-11,160.25
2023-10-12,162.05
2023-10-13,163.77
2023-10-16,165.23
2023-10-17,166.26
2023-10-18,166.74
2023-10-19,166.64
2023-10-20,165.95
2023-10-23,164.75
2023-10-24,163.19
2023-10-25,161.41
2023-10-26,159.64
2023-10-27,158.05
2023-10-30,156.82
2023-10-31,156.09
2023-11-01,155.94
2023-11-02,156.39
2023-11-03,157.38
2023-11-06,158.81
2023-11-07,160.52
2023-11-08,162.32
2023-11-09,164.01
2023-11-10,165.41
2023-11-13,166.37
2023-11-14,166.77
2023-11-15,166.57
2023-11-16,165.8
2023-11-17,164.54
2023-11-20,162.93
2023-11-21,161.14
2023-11-22,159.38
2023-11-23,157.83
2023-11-24,156.68
2023-11-27,156.03
2023-11-28,155.97
2023-11-29,156.51
2023-11-30,157.57
2023-12-01,159.06
2023-12-04,160.79
2023-12-05,162.59
2023-12-06,164.25
2023-12-07,165.59
2023-12-08,166.46
2023-12-11,166.77
2023-12-12,166.49
2023-12-13,165.64
2023-12-14,164.31
2023-12-15,162.66
2023-12-18,160.87
2023-12-19,159.13
2023-12-20,157.63
2023-12-21,156.54
2023-12-22,155.98
2023-12-25,156.02
2023-12-26,156.64
2023-12-27,157.77
2023-12-28,159.31
2023-12-29,161.06
2024-01-01,162.85
2024-01-02,164.47
2024-01-03,165.75
2024-01-04,166.55
2024-01-05,166.77
2024-01-08,166.4
2024-01-09,165.47
2024-01-10,164.08
2024-01-11,162.4
2024-01-12,160.6
2024-01-15,158.88
2024-01-16,157.44
2024-01-17,156.42
2024-01-18,155.95
2024-01-19,156.07
2024-01-22,156.78
2024-01-23,157.98
2024-01-24,159.56
2024-01-25,161.33
2024-01-26,163.11
2024-01-29,164.69
2024-01-30,165.91
2024-01-31,166.62
2024-02-01,166.75
2024-02-02,166.29
2024-02-05,165.28
2024-02-06,163.84
2024-02-07,162.13
2024-02-08,160.33
2024-02-09,158.64
2024-02-12,157.25
2024-02-13,156.32
2024-02-14,155.93
2024-02-15,156.14
2024-02-16,156.93
2024-02-19,158.2
2024-02-20,159.82
2024-02-21,161.61
2024-02-22,163.36
2024-02-23,164.9
2024-02-26,166.05
2024-02-27,166.68
2024-02-28,166.72
2024-02-29,166.17
2024-03-01,165.09
2024-03-04,163.6
2024-03-05,161.86
2024-03-06,160.07
2024-03-07,158.41
2024-03-08,157.08
2024-03-11,156.22
2024-03-12,155.92
